std,nevals,min,max,median,avg,gen
53.5975174258,3.0,1257.71428571,1380.71428571,1317.42857143,1318.61904762,0.0
29.8529507072,3.0,1310.14285714,1377.85714286,1342.85714286,1343.61904762,1.0
11.6283585966,3.0,1288.14285714,1313.0,1296.0,1299.04761905,2.0
18.0489640297,3.0,1308.85714286,1349.42857143,1329.28571429,1329.19047619,3.0
8.71698248682,3.0,1290.85714286,1310.0,1293.85714286,1298.23809524,4.0
2.28799445985,3.0,1327.28571429,1332.42857143,1328.28571429,1329.33333333,5.0
0.13468700594,3.0,1292.0,1292.28571429,1292.28571429,1292.19047619,6.0
